address,nearest_mrt,nearest_distance_to_mrt
116 BISHAN ST 12,bishan,0.362
125 BISHAN ST 12,bishan,0.561
171 BISHAN ST 13,bishan,0.765
182 BISHAN ST 13,bishan,0.55
170 BISHAN ST 13,bishan,0.78
172 BISHAN ST 13,bishan,0.707
173 BISHAN ST 13,bishan,0.761
161 BISHAN ST 13,lorong chuan,0.97
164 BISHAN ST 13,bishan,0.922
165 BISHAN ST 13,bishan,0.913
154 BISHAN ST 13,bishan,0.898
402 SIN MING AVE,bright hill,0.059
255 BISHAN ST 22,bright hill,1.111
238 BISHAN ST 22,bishan,1.066
160 BISHAN ST 13,bishan,1.011
261 BISHAN ST 22,bishan,1.052
301 SHUNFU RD,marymount,0.142
528 BT BATOK ST 51,bukit gombak,0.231
264 BT BATOK EAST AVE 4,bukit batok,1.058
343 BT BATOK ST 34,bukit gombak,0.511
339 BT BATOK ST 34,bukit gombak,0.522
536 BT BATOK ST 52,bukit gombak,0.351
537 BT BATOK ST 52,bukit gombak,0.402
417 BT BATOK WEST AVE 4,bukit gombak,0.753
129 BT BATOK WEST AVE 6,bukit batok,0.475
169 BT BATOK WEST AVE 8,bukit batok,0.999
228 BT BATOK CTRL,bukit batok,0.472
225 BT BATOK CTRL,bukit batok,0.343
230 BT BATOK EAST AVE 3,bukit batok,0.621
239 BT BATOK EAST AVE 5,bukit batok,0.63
240 BT BATOK EAST AVE 5,bukit batok,0.538
241 BT BATOK EAST AVE 5,bukit batok,0.591
242 BT BATOK EAST AVE 5,bukit batok,0.771
145 BT BATOK ST 11,bukit batok,0.658
213 BT BATOK ST 21,bukit batok,0.408
217 BT BATOK ST 21,bukit batok,0.628
312 BT BATOK ST 32,bukit gombak,0.515
421 BT BATOK WEST AVE 2,bukit gombak,0.876
136 BT BATOK WEST AVE 6,bukit batok,0.563
263 BT BATOK EAST AVE 4,bukit batok,1.068
369 BT BATOK ST 31,bukit gombak,0.177
187 BT BATOK WEST AVE 6,bukit batok,0.618
253 BT BATOK EAST AVE 5,bukit batok,0.903
361 BT BATOK ST 31,bukit gombak,0.254
313 BT BATOK ST 32,bukit gombak,0.481
422 BT BATOK WEST AVE 2,bukit gombak,0.778
332 BT BATOK ST 32,bukit gombak,0.698
336 BT BATOK ST 32,bukit gombak,0.799
349 BT BATOK ST 34,bukit gombak,0.459
639 BT BATOK CTRL,bukit batok,0.276
285 BT BATOK EAST AVE 3,bukit batok,0.972
236 BT BATOK EAST AVE 5,bukit batok,0.712
203 BT BATOK ST 21,bukit batok,0.2
117 BT BATOK WEST AVE 6,bukit batok,0.289
110 BT BATOK WEST AVE 6,bukit batok,0.451
111 BT BATOK WEST AVE 6,bukit batok,0.403
287 BT BATOK EAST AVE 3,bukit batok,1.018
223 BT BATOK EAST AVE 3,bukit batok,0.441
512 BT BATOK ST 52,bukit gombak,0.526
535 BT BATOK ST 52,bukit gombak,0.433
119 BT MERAH VIEW,tiong bahru,0.769
105 HENDERSON CRES,redhill,0.628
132 JLN BT MERAH,tiong bahru,0.824
133 JLN BT MERAH,tiong bahru,0.729
20 TELOK BLANGAH CRES,tiong bahru,1.198
30 TELOK BLANGAH RISE,harbourfront,0.856
43 TELOK BLANGAH RISE,harbourfront,0.586
109 BT PURMEI RD,harbourfront,1.038
112 BT PURMEI RD,harbourfront,1.119
146 JLN BT MERAH,tiong bahru,0.992
149 SILAT AVE,outram park,0.95
64 TELOK BLANGAH DR,telok blangah,0.431
24 BEO CRES,tiong bahru,0.292
34 JLN BT HO SWEE,tiong bahru,0.223
28 JLN KLINIK,tiong bahru,0.217
13 REDHILL CL,redhill,0.469
5 REDHILL CL,redhill,0.568
16 TAMAN HO SWEE,havelock,0.226
129 KIM TIAN RD,tiong bahru,0.572
24 TELOK BLANGAH CRES,harbourfront,1.118
23 TELOK BLANGAH CRES,harbourfront,1.191
40 TELOK BLANGAH RISE,harbourfront,0.77
34 TELOK BLANGAH WAY,harbourfront,0.91
111 BT PURMEI RD,harbourfront,1.186
109 JLN BT MERAH,tiong bahru,0.758
134 JLN BT MERAH,tiong bahru,0.81
123 KIM TIAN RD,tiong bahru,0.302
5 DELTA AVE,tiong bahru,0.683
61 TELOK BLANGAH HTS,telok blangah,0.609
69 TELOK BLANGAH HTS,telok blangah,0.546
51 LENGKOK BAHRU,redhill,0.545
52 LENGKOK BAHRU,redhill,0.398
53 LENGKOK BAHRU,redhill,0.376
94 HAVELOCK RD,havelock,0.051
49 HOY FATT RD,redhill,0.608
87 ZION RD,havelock,0.263
9 JLN RUMAH TINGGI,queenstown,0.68
25 TELOK BLANGAH CRES,telok blangah,1.221
37 TELOK BLANGAH RISE,harbourfront,0.824
148 GANGSA RD,petir,0.212
227 PENDING RD,pending,0.133
137 PETIR RD,pending,0.233
224 PENDING RD,pending,0.195
270 BANGKIT RD,pending,0.33
257 BANGKIT RD,bangkit,0.18
237 BT PANJANG RING RD,bangkit,0.275
434 BT PANJANG RING RD,fajar,0.107
439 FAJAR RD,fajar,0.176
221 PENDING RD,pending,0.258
216 PETIR RD,pending,0.413
103 GANGSA RD,petir,0.233
217 PETIR RD,pending,0.288
244 BT PANJANG RING RD,bangkit,0.136
427 BT PANJANG RING RD,segar,0.159
429 BT PANJANG RING RD,segar,0.119
141 PETIR RD,petir,0.268
144 PETIR RD,petir,0.24
135 CASHEW RD,pending,0.352
422 FAJAR RD,fajar,0.143
408 FAJAR RD,fajar,0.381
4 TOH YI DR,beauty world,0.331
19 TOH YI DR,beauty world,0.253
1 TOH YI DR,beauty world,0.222
1 QUEEN'S RD,farrer road,0.069
3 TOH YI DR,beauty world,0.279
271 QUEEN ST,bugis,0.198
3 TG PAGAR PLAZA,tanjong pagar,0.381
639 ROWELL RD,jalan besar,0.287
635 VEERASAMY RD,jalan besar,0.158
32 NEW MKT RD,chinatown,0.117
8 SELEGIE RD,rochor,0.263
9 SELEGIE RD,rochor,0.233
233 BAIN ST,bras basah,0.36
110 TECK WHYE LANE,teck whye,0.257
291 CHOA CHU KANG AVE 3,south view,0.636
293 CHOA CHU KANG AVE 3,south view,0.608
409 CHOA CHU KANG AVE 3,south view,0.391
411 CHOA CHU KANG AVE 3,south view,0.456
413 CHOA CHU KANG AVE 3,south view,0.324
404 CHOA CHU KANG AVE 3,south view,0.712
233 CHOA CHU KANG CTRL,south view,0.234
230 CHOA CHU KANG CTRL,south view,0.1
226 CHOA CHU KANG CTRL,south view,0.096
353 CHOA CHU KANG CTRL,south view,0.294
346 CHOA CHU KANG LOOP,choa chu kang,0.206
505 CHOA CHU KANG ST 51,choa chu kang,0.481
541 CHOA CHU KANG ST 52,yew tee,0.63
544 CHOA CHU KANG ST 52,yew tee,0.587
702 CHOA CHU KANG ST 53,yew tee,0.668
705 CHOA CHU KANG ST 53,choa chu kang,0.589
701 CHOA CHU KANG ST 53,yew tee,0.667
608 CHOA CHU KANG ST 62,yew tee,0.324
614 CHOA CHU KANG ST 62,yew tee,0.544
113 TECK WHYE LANE,keat hong,0.22
415 CHOA CHU KANG AVE 4,choa chu kang,0.361
418 CHOA CHU KANG AVE 4,choa chu kang,0.472
305 CHOA CHU KANG AVE 4,choa chu kang,0.198
340 CHOA CHU KANG LOOP,choa chu kang,0.188
549 CHOA CHU KANG ST 52,yew tee,0.687
552 CHOA CHU KANG ST 52,yew tee,0.619
565 CHOA CHU KANG ST 52,yew tee,0.374
102 TECK WHYE LANE,teck whye,0.088
343 CHOA CHU KANG LOOP,choa chu kang,0.261
510 CHOA CHU KANG ST 51,choa chu kang,0.44
437 CHOA CHU KANG AVE 4,choa chu kang,0.437
755 CHOA CHU KANG NTH 5,yew tee,0.596
554 CHOA CHU KANG NTH 6,yew tee,0.499
555 CHOA CHU KANG NTH 6,yew tee,0.437
559 CHOA CHU KANG NTH 6,yew tee,0.345
560 CHOA CHU KANG NTH 6,yew tee,0.326
529 CHOA CHU KANG ST 51,choa chu kang,0.799
134 TECK WHYE LANE,keat hong,0.281
759 CHOA CHU KANG NTH 5,yew tee,0.486
363 CLEMENTI AVE 2,clementi,0.486
426 CLEMENTI AVE 3,clementi,0.408
442 CLEMENTI AVE 3,clementi,0.133
307 CLEMENTI AVE 4,clementi,0.732
376 CLEMENTI AVE 4,clementi,0.371
326 CLEMENTI AVE 5,clementi,0.15
345 CLEMENTI AVE 5,clementi,0.519
343 CLEMENTI AVE 5,clementi,0.71
379 CLEMENTI AVE 5,clementi,0.433
608 CLEMENTI WEST ST 1,clementi,1.207
711 CLEMENTI WEST ST 2,clementi,1.229
731 CLEMENTI WEST ST 2,clementi,1.222
728 CLEMENTI WEST ST 2,clementi,1.071
509 WEST COAST DR,clementi,0.64
508 WEST COAST DR,clementi,0.541
514 WEST COAST RD,clementi,0.952
519 WEST COAST RD,clementi,1.052
520 WEST COAST RD,clementi,1.081
702 WEST COAST RD,clementi,0.984
703 WEST COAST RD,clementi,1.059
704 WEST COAST RD,clementi,1.104
359 CLEMENTI AVE 2,clementi,0.549
334 CLEMENTI AVE 2,clementi,0.36
332 CLEMENTI AVE 2,clementi,0.259
350 CLEMENTI AVE 2,clementi,0.559
373 CLEMENTI AVE 4,clementi,0.542
324 CLEMENTI AVE 5,clementi,0.096
381 CLEMENTI AVE 5,clementi,0.496
713 CLEMENTI WEST ST 2,clementi,1.263
511 WEST COAST DR,clementi,0.753
513 WEST COAST RD,clementi,0.903
414 C'WEALTH AVE WEST,dover,0.78
717 CLEMENTI WEST ST 2,clementi,1.356
723 CLEMENTI WEST ST 2,clementi,1.351
724 CLEMENTI WEST ST 2,clementi,1.296
201 CLEMENTI AVE 6,clementi,0.599
112 CLEMENTI ST 13,clementi,1.047
109 ALJUNIED CRES,aljunied,0.371
67 CIRCUIT RD,macpherson,0.275
81 MACPHERSON LANE,tai seng,0.404
97 ALJUNIED CRES,aljunied,0.622
36 CASSIA CRES,dakota,0.466
16 EUNOS CRES,eunos,0.382
18 EUNOS CRES,eunos,0.458
4 HAIG RD,paya lebar,0.811
3 HAIG RD,paya lebar,0.859
1 HAIG RD,paya lebar,0.917
112 ALJUNIED CRES,aljunied,0.506
22 BALAM RD,macpherson,0.539
19 BALAM RD,tai seng,0.427
30 BALAM RD,macpherson,0.534
69 CIRCUIT RD,macpherson,0.346
60 CIRCUIT RD,mattar,0.394
36 CIRCUIT RD,mattar,0.474
35 CIRCUIT RD,mattar,0.398
99 OLD AIRPORT RD,dakota,0.091
42 CIRCUIT RD,mattar,0.35
60 DAKOTA CRES,dakota,0.154
42 CASSIA CRES,dakota,0.362
120 GEYLANG EAST CTRL,aljunied,0.285
121 PAYA LEBAR WAY,mattar,0.552
122 PAYA LEBAR WAY,mattar,0.483
348 UBI AVE 1,ubi,0.449
336 UBI AVE 1,ubi,0.554
105 ALJUNIED CRES,aljunied,0.338
110 ALJUNIED CRES,aljunied,0.429
417 EUNOS RD 5,paya lebar,0.448
50 SIMS DR,aljunied,0.503
130 GEYLANG EAST AVE 1,aljunied,0.542
133 GEYLANG EAST AVE 1,aljunied,0.284
335 UBI AVE 1,ubi,0.593
6 HOUGANG AVE 3,hougang,0.97
1 HOUGANG AVE 3,hougang,0.799
642 HOUGANG AVE 8,hougang,1.383
645 HOUGANG AVE 8,hougang,1.216
523 HOUGANG AVE 6,hougang,0.328
660 HOUGANG AVE 8,hougang,1.09
688 HOUGANG ST 61,hougang,0.933
695 HOUGANG ST 61,hougang,0.788
123 HOUGANG AVE 1,kovan,0.767
124 HOUGANG AVE 1,kovan,0.83
125 HOUGANG AVE 1,kovan,0.878
121 HOUGANG AVE 1,kovan,0.735
126 HOUGANG AVE 1,kovan,0.887
403 HOUGANG AVE 10,hougang,0.578
703 HOUGANG AVE 2,hougang,0.718
23 HOUGANG AVE 3,hougang,0.738
319 HOUGANG AVE 5,hougang,0.778
308 HOUGANG AVE 5,hougang,0.624
674 HOUGANG AVE 8,hougang,0.865
681 HOUGANG AVE 8,hougang,0.776
683 HOUGANG AVE 8,hougang,0.705
15 HOUGANG AVE 3,kovan,0.811
516 HOUGANG AVE 10,hougang,0.405
457 HOUGANG AVE 10,buangkok,0.729
458 HOUGANG AVE 10,buangkok,0.667
665 HOUGANG AVE 4,hougang,0.965
666 HOUGANG AVE 4,hougang,0.874
301 HOUGANG AVE 5,hougang,0.426
332 HOUGANG AVE 5,hougang,0.685
629 HOUGANG AVE 8,kovan,1.168
658 HOUGANG AVE 8,hougang,1.135
417 HOUGANG AVE 8,hougang,0.637
419 HOUGANG AVE 8,hougang,0.603
540 HOUGANG AVE 8,buangkok,0.598
437 HOUGANG AVE 8,buangkok,0.63
440 HOUGANG AVE 8,buangkok,0.418
831 HOUGANG CTRL,hougang,0.272
549 HOUGANG ST 51,buangkok,0.565
537 HOUGANG ST 52,buangkok,0.678
689 HOUGANG ST 61,hougang,0.935
696 HOUGANG ST 61,hougang,0.757
130 LOR AH SOO,kovan,1.002
139 LOR AH SOO,kovan,0.889
142 LOR AH SOO,kovan,0.831
464 UPP SERANGOON RD,woodleigh,0.524
414 HOUGANG AVE 10,hougang,0.568
708 HOUGANG AVE 2,hougang,0.628
707 HOUGANG AVE 2,hougang,0.684
701 HOUGANG AVE 2,hougang,0.69
704 HOUGANG AVE 2,kovan,0.713
252 HOUGANG AVE 3,kovan,0.85
337 HOUGANG AVE 7,hougang,0.686
155 HOUGANG ST 11,serangoon,0.815
532 HOUGANG AVE 6,hougang,0.549
501 HOUGANG AVE 8,hougang,0.656
504 HOUGANG AVE 8,hougang,0.526
409 HOUGANG AVE 10,hougang,0.405
251 HOUGANG AVE 3,kovan,0.73
422 HOUGANG AVE 6,hougang,0.429
425 HOUGANG AVE 6,hougang,0.273
655 HOUGANG AVE 8,hougang,1.177
542 HOUGANG AVE 8,hougang,0.633
467 HOUGANG AVE 8,hougang,0.536
245 HOUGANG ST 22,kovan,0.766
465 UPP SERANGOON RD,hougang,0.519
129 LOR AH SOO,kovan,1.003
522 HOUGANG AVE 6,hougang,0.244
634 HOUGANG AVE 8,kovan,1.324
455 HOUGANG AVE 10,buangkok,0.652
533 HOUGANG AVE 6,hougang,0.508
446 HOUGANG AVE 8,buangkok,0.47
235 HOUGANG ST 21,kovan,0.514
145 LOR AH SOO,kovan,0.987
144 LOR AH SOO,kovan,0.933
141 LOR AH SOO,kovan,0.798
341 JURONG EAST AVE 1,chinese garden,0.777
329 JURONG EAST AVE 1,chinese garden,0.915
321 JURONG EAST ST 31,chinese garden,0.723
345 JURONG EAST ST 31,chinese garden,0.383
352 JURONG EAST ST 31,chinese garden,0.376
233 JURONG EAST ST 21,jurong east,0.817
301 JURONG EAST ST 32,chinese garden,0.373
47 TEBAN GDNS RD,jurong east,1.473
319 JURONG EAST ST 31,chinese garden,0.67
320 JURONG EAST ST 31,chinese garden,0.691
310 JURONG EAST ST 32,chinese garden,0.665
316 JURONG EAST ST 32,chinese garden,0.41
108 JURONG EAST ST 13,chinese garden,0.668
229 JURONG EAST ST 21,chinese garden,0.606
240 JURONG EAST ST 21,jurong east,0.884
221A JURONG EAST ST 21,chinese garden,0.454
251 JURONG EAST ST 24,chinese garden,0.792
408 PANDAN GDNS,jurong east,1.814
409 PANDAN GDNS,jurong east,1.723
30 TEBAN GDNS RD,jurong east,1.417
41 TEBAN GDNS RD,jurong east,1.294
116 JURONG EAST ST 13,chinese garden,0.376
103 JURONG EAST ST 13,jurong east,0.613
106 JURONG EAST ST 13,jurong east,0.686
201 JURONG EAST ST 21,jurong east,0.372
204 JURONG EAST ST 21,jurong east,0.451
219A JURONG EAST ST 21,chinese garden,0.574
258 JURONG EAST ST 24,chinese garden,0.69
332 JURONG EAST AVE 1,chinese garden,1.061
309 JURONG EAST ST 32,chinese garden,0.598
325 JURONG EAST ST 31,chinese garden,0.822
337 JURONG EAST AVE 1,chinese garden,0.819
336 JURONG EAST AVE 1,chinese garden,0.904
323 JURONG EAST ST 31,chinese garden,0.782
50 TEBAN GDNS RD,jurong east,1.482
187 BOON LAY AVE,boon lay,0.883
210 BOON LAY PL,lakeside,0.967
215 BOON LAY PL,lakeside,1.074
490 JURONG WEST AVE 1,lakeside,0.917
485 JURONG WEST AVE 1,lakeside,0.834
462 JURONG WEST ST 41,lakeside,0.729
464 JURONG WEST ST 41,lakeside,0.689
475 JURONG WEST ST 41,lakeside,0.628
518 JURONG WEST ST 52,lakeside,0.343
511 JURONG WEST ST 52,lakeside,0.421
908 JURONG WEST ST 91,pioneer,1.26
925 JURONG WEST ST 92,pioneer,0.952
928 JURONG WEST ST 92,pioneer,0.971
463 JURONG WEST ST 41,lakeside,0.747
456 JURONG WEST ST 41,lakeside,0.721
528 JURONG WEST ST 52,lakeside,0.633
534 JURONG WEST ST 52,lakeside,0.676
521 JURONG WEST ST 52,lakeside,0.486
524 JURONG WEST ST 52,lakeside,0.526
417 JURONG WEST ST 42,lakeside,1.058
537 JURONG WEST AVE 1,lakeside,0.854
542 JURONG WEST AVE 1,lakeside,1.009
725 JURONG WEST AVE 5,pioneer,0.876
413 JURONG WEST ST 42,lakeside,1.104
411 JURONG WEST ST 42,lakeside,1.154
433 JURONG WEST ST 42,lakeside,0.971
449 JURONG WEST ST 42,lakeside,0.942
543 JURONG WEST ST 42,lakeside,1.021
545 JURONG WEST ST 42,lakeside,1.095
713 JURONG WEST ST 71,pioneer,0.657
712 JURONG WEST ST 71,pioneer,0.535
743 JURONG WEST ST 73,pioneer,1.099
764 JURONG WEST ST 74,pioneer,1.319
755 JURONG WEST ST 74,boon lay,1.235
759 JURONG WEST ST 74,pioneer,1.421
838 JURONG WEST ST 81,pioneer,0.815
810 JURONG WEST ST 81,pioneer,1.054
853 JURONG WEST ST 81,pioneer,1.165
944 JURONG WEST ST 91,pioneer,1.151
909 JURONG WEST ST 91,pioneer,1.272
931 JURONG WEST ST 92,pioneer,0.955
980 JURONG WEST ST 93,pioneer,0.44
357 YUNG AN RD,lakeside,0.826
460 JURONG WEST ST 41,lakeside,0.63
458 JURONG WEST ST 41,lakeside,0.67
979 JURONG WEST ST 93,pioneer,0.395
262 BOON LAY DR,boon lay,0.703
468 JURONG WEST ST 41,lakeside,0.477
747 JURONG WEST ST 73,pioneer,1.115
750 JURONG WEST ST 73,pioneer,1.17
821 JURONG WEST ST 81,pioneer,1.092
833 JURONG WEST ST 81,pioneer,0.76
834 JURONG WEST ST 81,pioneer,0.712
843 JURONG WEST ST 81,pioneer,0.82
819 JURONG WEST ST 81,pioneer,0.948
845 JURONG WEST ST 81,pioneer,0.988
847 JURONG WEST ST 81,pioneer,1.057
911 JURONG WEST ST 91,pioneer,1.257
260 BOON LAY DR,boon lay,0.754
443 JURONG WEST AVE 1,lakeside,0.841
444 JURONG WEST AVE 1,lakeside,0.873
452 JURONG WEST ST 42,lakeside,0.858
849 JURONG WEST ST 81,pioneer,1.113
221 BOON LAY PL,lakeside,0.971
753 JURONG WEST ST 74,pioneer,1.243
754 JURONG WEST ST 74,pioneer,1.278
842 JURONG WEST ST 81,pioneer,0.877
469 JURONG WEST ST 41,lakeside,0.472
405 JURONG WEST ST 42,lakeside,1.109
556 JURONG WEST ST 42,lakeside,1.096
409 JURONG WEST ST 42,lakeside,1.197
714 JURONG WEST ST 71,pioneer,0.619
906 JURONG WEST ST 91,pioneer,1.404
154 YUNG HO RD,lakeside,1.908
159 YUNG PING RD,lakeside,1.673
7 ST. GEORGE'S LANE,boon keng,0.56
26 BENDEMEER RD,boon keng,0.189
463 CRAWFORD LANE,lavender,0.275
57 GEYLANG BAHRU,geylang bahru,0.371
804 KING GEORGE'S AVE,lavender,0.226
74 WHAMPOA DR,boon keng,0.733
85 WHAMPOA DR,boon keng,0.687
93 WHAMPOA DR,boon keng,0.82
98 WHAMPOA DR,boon keng,0.862
93 GEYLANG BAHRU,geylang bahru,0.099
44 OWEN RD,farrer park,0.529
46 OWEN RD,farrer park,0.467
685 RACE COURSE RD,farrer park,0.44
43 BENDEMEER RD,boon keng,0.514
35 JLN BAHAGIA,boon keng,0.935
33 JLN BAHAGIA,boon keng,0.881
3 JLN BATU,jelapang,1.124
54 JLN MA'MOR,toa payoh,1.091
1 ST. GEORGE'S RD,boon keng,0.452
15 UPP BOON KENG RD,kallang,0.488
49 WHAMPOA STH,geylang bahru,0.683
111 LOR 3 GEYLANG,kallang,0.279
114 LOR 3 GEYLANG,kallang,0.294
112 MCNAIR RD,boon keng,0.343
104 TOWNER RD,boon keng,0.085
112 WHAMPOA RD,boon keng,0.916
41 CAMBRIDGE RD,farrer park,0.566
9 GLOUCESTER RD,farrer park,0.272
18 ST. GEORGE'S RD,boon keng,0.544
19 ST. GEORGE'S RD,boon keng,0.58
120 MCNAIR RD,boon keng,0.504
9 ST. GEORGE'S RD,boon keng,0.513
54 KENT RD,pasir panjang,0.457
48 DORSET RD,farrer park,0.41
55 GEYLANG BAHRU,geylang bahru,0.458
110 MCNAIR RD,boon keng,0.412
47 MARINE CRES,kembangan,1.704
31 MARINE CRES,kembangan,1.935
64 MARINE DR,eunos,2.084
65 MARINE DR,eunos,1.96
67 MARINE DR,eunos,1.848
5 MARINE TER,kembangan,1.893
34 MARINE CRES,kembangan,1.88
55 MARINE TER,kembangan,1.74
17 MARINE TER,kembangan,1.925
43 MARINE CRES,kembangan,1.726
44 MARINE CRES,kembangan,1.813
73 MARINE DR,eunos,1.866
71 MARINE DR,eunos,1.812
79 MARINE DR,eunos,2.092
12 MARINE TER,kembangan,1.853
13 MARINE TER,kembangan,1.912
640 PASIR RIS DR 1,pasir ris,1.03
700 PASIR RIS DR 10,pasir ris,1.46
704 PASIR RIS DR 10,pasir ris,1.588
738 PASIR RIS DR 10,pasir ris,1.573
479 PASIR RIS DR 4,pasir ris,1.128
231 PASIR RIS DR 4,pasir ris,1.348
421 PASIR RIS DR 6,pasir ris,0.658
442 PASIR RIS DR 6,pasir ris,1.066
405 PASIR RIS DR 6,pasir ris,0.742
411 PASIR RIS DR 6,pasir ris,0.568
412 PASIR RIS DR 6,pasir ris,0.647
450 PASIR RIS DR 6,pasir ris,1.002
121 PASIR RIS ST 11,pasir ris,0.899
122 PASIR RIS ST 11,pasir ris,0.921
109 PASIR RIS ST 11,pasir ris,0.904
142 PASIR RIS ST 11,tampines east,0.936
104 PASIR RIS ST 12,pasir ris,1.19
147 PASIR RIS ST 13,tampines east,1.124
148 PASIR RIS ST 13,tampines east,1.068
230 PASIR RIS ST 21,pasir ris,1.303
216 PASIR RIS ST 21,pasir ris,1.368
252 PASIR RIS ST 21,pasir ris,1.572
517 PASIR RIS ST 52,pasir ris,0.631
571 PASIR RIS ST 53,pasir ris,0.401
747 PASIR RIS ST 71,pasir ris,1.776
752 PASIR RIS ST 71,pasir ris,1.719
757 PASIR RIS ST 71,pasir ris,1.805
759 PASIR RIS ST 71,pasir ris,1.876
766 PASIR RIS ST 71,pasir ris,1.497
723 PASIR RIS ST 72,pasir ris,1.646
636 PASIR RIS DR 1,pasir ris,1.037
638 PASIR RIS DR 1,pasir ris,1.001
708 PASIR RIS DR 10,pasir ris,1.46
114 PASIR RIS ST 11,pasir ris,0.812
182 PASIR RIS ST 11,tampines east,1.176
103 PASIR RIS ST 12,pasir ris,1.175
189 PASIR RIS ST 12,tampines east,1.154
740 PASIR RIS ST 71,pasir ris,1.574
743 PASIR RIS ST 71,pasir ris,1.597
771 PASIR RIS ST 71,pasir ris,1.448
719 PASIR RIS ST 72,pasir ris,1.738
194 PASIR RIS ST 12,tampines east,1.225
601 ELIAS RD,pasir ris,0.836
606 ELIAS RD,pasir ris,0.841
609 ELIAS RD,pasir ris,0.778
533 PASIR RIS DR 1,pasir ris,0.304
644 PASIR RIS DR 10,pasir ris,1.415
646 PASIR RIS DR 10,pasir ris,1.356
239 PASIR RIS ST 21,pasir ris,1.567
247 PASIR RIS ST 21,pasir ris,1.492
220 PASIR RIS ST 21,pasir ris,1.413
546 PASIR RIS ST 51,pasir ris,0.591
550 PASIR RIS ST 51,pasir ris,0.791
538 PASIR RIS ST 51,pasir ris,0.4
504 PASIR RIS ST 52,pasir ris,0.591
507 PASIR RIS ST 52,pasir ris,0.657
510 PASIR RIS ST 52,pasir ris,0.6
502 PASIR RIS ST 52,pasir ris,0.429
503 PASIR RIS ST 52,pasir ris,0.516
581 PASIR RIS ST 53,pasir ris,0.364
584 PASIR RIS ST 53,pasir ris,0.315
586 PASIR RIS ST 53,pasir ris,0.291
716 PASIR RIS ST 72,pasir ris,1.783
603 ELIAS RD,pasir ris,0.75
422 PASIR RIS DR 6,pasir ris,0.65
448 PASIR RIS DR 6,pasir ris,1.018
44 TANGLIN HALT RD,commonwealth,0.396
5 GHIM MOH RD,buona vista,0.645
21 GHIM MOH RD,buona vista,0.371
19 GHIM MOH RD,buona vista,0.517
23A QUEEN'S CL,queenstown,0.707
170 STIRLING RD,queenstown,0.521
165 STIRLING RD,queenstown,0.625
88 C'WEALTH CL,commonwealth,0.286
108 C'WEALTH CRES,commonwealth,0.569
101 C'WEALTH CRES,holland village,0.679
89 C'WEALTH DR,commonwealth,0.342
24 TANGLIN HALT RD,commonwealth,0.559
25 TANGLIN HALT RD,commonwealth,0.537
37 TANGLIN HALT RD,commonwealth,0.526
40 TANGLIN HALT RD,commonwealth,0.504
26 TANGLIN HALT RD,commonwealth,0.518
30 TANGLIN HALT RD,commonwealth,0.406
58 STIRLING RD,queenstown,0.25
33 TANGLIN HALT RD,commonwealth,0.66
6 HOLLAND CL,buona vista,0.557
7 C'WEALTH AVE,buona vista,0.509
7A C'WEALTH AVE,buona vista,0.519
19 QUEEN'S CL,queenstown,0.697
20 QUEEN'S CL,queenstown,0.711
22 QUEEN'S CL,queenstown,0.726
13 DOVER CL EAST,buona vista,0.508
13 GHIM MOH RD,buona vista,0.304
2 LOR LEW LIAN,serangoon,0.238
108 SERANGOON NTH AVE 1,kovan,1.875
106 SERANGOON NTH AVE 1,kovan,1.939
301 SERANGOON AVE 2,lorong chuan,0.432
223 SERANGOON AVE 4,serangoon,0.933
221 SERANGOON AVE 4,serangoon,1.068
115 SERANGOON NTH AVE 1,kovan,1.837
113 SERANGOON NTH AVE 1,kovan,1.883
210 SERANGOON CTRL,serangoon,0.581
209 SERANGOON CTRL,serangoon,0.533
201 SERANGOON CTRL,serangoon,0.141
203 SERANGOON CTRL,serangoon,0.266
204 SERANGOON CTRL,serangoon,0.305
253 SERANGOON CTRL DR,serangoon,0.569
402 SERANGOON AVE 1,serangoon,0.347
232 SERANGOON AVE 3,lorong chuan,0.617
409 SERANGOON CTRL,serangoon,0.197
412 SERANGOON CTRL,serangoon,0.141
538 SERANGOON NTH AVE 4,fernvale,1.918
522 SERANGOON NTH AVE 4,kovan,1.897
6 LOR LEW LIAN,serangoon,0.418
304 SERANGOON AVE 2,lorong chuan,0.454
154 YISHUN ST 11,yishun,0.242
224 SERANGOON AVE 4,serangoon,0.888
220 SERANGOON AVE 4,serangoon,1.016
118 SERANGOON NTH AVE 1,kovan,1.776
126 SERANGOON NTH AVE 1,kovan,1.605
235 SERANGOON AVE 3,serangoon,0.724
324 SERANGOON AVE 3,lorong chuan,0.523
333 SERANGOON AVE 3,serangoon,0.359
145 SERANGOON NTH AVE 1,kovan,1.646
147 SERANGOON NTH AVE 1,kovan,1.659
208 SERANGOON CTRL,serangoon,0.49
413 SERANGOON CTRL,serangoon,0.07
420 SERANGOON CTRL,serangoon,0.182
116 SERANGOON NTH AVE 1,kovan,1.76
114 SERANGOON NTH AVE 1,kovan,1.791
136 SERANGOON NTH AVE 2,kovan,1.425
137 SERANGOON NTH AVE 2,kovan,1.401
540 SERANGOON NTH AVE 4,fernvale,1.964
524 SERANGOON NTH AVE 4,kovan,1.944
501 SERANGOON NTH AVE 4,hougang,1.838
317 SERANGOON AVE 2,lorong chuan,0.255
123 SERANGOON NTH AVE 1,kovan,1.578
