address,nearest_mrt,nearest_distance_to_mrt
76 BEDOK NTH RD,tanah merah,0.492
501 BEDOK NTH ST 3,bedok reservoir,0.565
534 BEDOK NTH ST 3,bedok north,0.783
617 BEDOK RESERVOIR RD,bedok north,0.243
3 BEDOK STH AVE 1,bedok,0.423
2 BEDOK STH AVE 1,bedok,0.474
18 BEDOK STH RD,bedok,0.686
36 CHAI CHEE AVE,bedok,0.528
32 CHAI CHEE AVE,bedok,0.555
40 CHAI CHEE AVE,bedok,0.451
37 CHAI CHEE AVE,bedok,0.45
27 NEW UPP CHANGI RD,bedok,0.549
57 NEW UPP CHANGI RD,tanah merah,0.624
55 CHAI CHEE DR,bedok north,0.885
59 CHAI CHEE RD,kembangan,0.917
2 CHAI CHEE RD,bedok,0.861
423 BEDOK NTH AVE 1,bedok,0.519
522 BEDOK NTH AVE 1,bedok,0.815
548 BEDOK NTH AVE 1,bedok reservoir,0.84
418 BEDOK NTH AVE 2,bedok,0.51
515 BEDOK NTH AVE 2,bedok reservoir,0.585
402 BEDOK NTH AVE 3,bedok reservoir,0.692
401 BEDOK NTH AVE 3,bedok reservoir,0.644
102 BEDOK NTH AVE 4,bedok reservoir,0.654
105 BEDOK NTH AVE 4,bedok reservoir,0.574
92 BEDOK NTH AVE 4,tanah merah,0.811
108 BEDOK NTH RD,bedok reservoir,0.618
107 BEDOK NTH RD,bedok reservoir,0.657
110 BEDOK NTH RD,bedok reservoir,0.545
109 BEDOK NTH RD,bedok reservoir,0.589
116 BEDOK NTH RD,bedok reservoir,0.899
420 BEDOK NTH ST 1,bedok,0.436
419 BEDOK NTH ST 1,bedok,0.391
202 BEDOK NTH ST 1,bedok,0.29
201 BEDOK NTH ST 1,bedok,0.317
213 BEDOK NTH ST 1,bedok,0.394
217 BEDOK NTH ST 1,bedok,0.541
134 BEDOK NTH ST 2,bedok,0.878
138 BEDOK NTH ST 2,bedok reservoir,0.864
529 BEDOK NTH ST 3,bedok reservoir,0.684
530 BEDOK NTH ST 3,bedok reservoir,0.663
509 BEDOK NTH ST 3,bedok reservoir,0.397
526 BEDOK NTH ST 3,bedok reservoir,0.398
532 BEDOK NTH ST 3,bedok reservoir,0.807
537 BEDOK NTH ST 3,bedok north,0.77
545 BEDOK NTH ST 3,bedok north,0.859
546 BEDOK NTH ST 3,bedok,0.904
84 BEDOK NTH ST 4,bedok reservoir,0.943
89 BEDOK NTH ST 4,bedok reservoir,0.78
88 BEDOK NTH ST 4,bedok reservoir,0.856
703 BEDOK RESERVOIR RD,bedok north,0.343
702 BEDOK RESERVOIR RD,bedok north,0.297
704 BEDOK RESERVOIR RD,bedok north,0.306
709 BEDOK RESERVOIR RD,bedok north,0.492
609 BEDOK RESERVOIR RD,kaki bukit,0.556
616 BEDOK RESERVOIR RD,bedok north,0.464
109 BEDOK RESERVOIR RD,kaki bukit,0.615
740 BEDOK RESERVOIR RD,bedok north,0.652
33 BEDOK STH AVE 2,tanah merah,0.938
69 BEDOK STH AVE 3,tanah merah,0.922
46 BEDOK STH AVE 3,tanah merah,0.89
40 BEDOK STH RD,tanah merah,1.002
39 BEDOK STH RD,tanah merah,0.978
44 CHAI CHEE ST,bedok,0.737
45 CHAI CHEE ST,bedok,0.801
50 CHAI CHEE ST,bedok north,0.78
24 NEW UPP CHANGI RD,bedok,0.38
210 NEW UPP CHANGI RD,bedok,0.218
35 BEDOK STH AVE 2,tanah merah,0.909
37 BEDOK STH AVE 2,tanah merah,0.931
7 BEDOK STH AVE 2,bedok,0.622
6 BEDOK STH AVE 2,bedok,0.59
44 BEDOK STH RD,tanah merah,0.852
52 NEW UPP CHANGI RD,tanah merah,0.561
51 NEW UPP CHANGI RD,tanah merah,0.617
717 BEDOK RESERVOIR RD,bedok reservoir,0.762
718 BEDOK RESERVOIR RD,bedok reservoir,0.721
723 BEDOK RESERVOIR RD,bedok reservoir,0.366
125 BEDOK RESERVOIR RD,kaki bukit,0.275
132 BEDOK RESERVOIR RD,kaki bukit,0.444
110 LENGKONG TIGA,kembangan,0.373
109 LENGKONG TIGA,kembangan,0.467
512 BEDOK NTH AVE 2,bedok reservoir,0.495
517 BEDOK NTH AVE 2,bedok reservoir,0.7
408 BEDOK NTH AVE 2,bedok,0.598
411 BEDOK NTH AVE 2,bedok,0.511
133 BEDOK NTH AVE 3,bedok,0.753
507 BEDOK NTH AVE 3,bedok reservoir,0.405
404 BEDOK NTH AVE 3,bedok,0.743
103 BEDOK NTH AVE 4,bedok reservoir,0.685
100 BEDOK NTH AVE 4,bedok reservoir,0.796
82 BEDOK NTH RD,tanah merah,0.71
78 BEDOK NTH RD,tanah merah,0.611
81 BEDOK NTH RD,tanah merah,0.675
124 BEDOK NTH RD,tanah merah,0.844
121 BEDOK NTH RD,tanah merah,0.88
421 BEDOK NTH RD,bedok,0.489
707 BEDOK NTH RD,bedok north,0.166
135 BEDOK NTH ST 2,bedok,0.897
132 BEDOK NTH ST 2,bedok,0.857
527 BEDOK NTH ST 3,bedok reservoir,0.543
528 BEDOK NTH ST 3,bedok reservoir,0.524
547 BEDOK NTH ST 3,bedok,0.869
623 BEDOK RESERVOIR RD,bedok north,0.178
43 CHAI CHEE ST,bedok,0.684
52 CHAI CHEE ST,bedok north,0.749
63 NEW UPP CHANGI RD,tanah merah,0.807
62 NEW UPP CHANGI RD,tanah merah,0.823
128 BEDOK RESERVOIR RD,kaki bukit,0.368
149 BEDOK RESERVOIR RD,kaki bukit,0.488
133 BEDOK RESERVOIR RD,kaki bukit,0.469
134 BEDOK RESERVOIR RD,kaki bukit,0.524
165 BEDOK STH RD,tanah merah,0.765
170 BEDOK STH RD,tanah merah,0.72
